file,section,line,kind,trigger,sentence,ledger_rows_cited,verdict,note
results/manuscript/introduction.md,introduction,46,data,zero,"Two of the three DICOM attribute names this study measures return **zero hits across the whole of Europe PMC**, and the third returns two, neither of which reports a population or a rate over it (PA-10).",PA-10,backed,row PA-10 states the same absence or universal
results/manuscript/introduction.md,introduction,58,data,every,"Every rate is published as a triple of gross, floor and net, because a known-good object drawn by a conformant writer still trips a validator and a rate quoted without its floor is not a number.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,5,procedure,nothing,"It trains nothing, repairs nothing and re-emits nothing.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,8,data,every,An object can satisfy every stated requirement of PS3.,,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,8,procedure,nothing,"3 [8] and say nothing about what made it, and the study is built so that the second question can be answered without the first being settled.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,19,procedure,never,Conformance is never scored by the authors.,,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,19,procedure,every,"The one conformance judgement the authors make is reading a Type designation out of the standard, and every such reading carries its section and table.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,34,data,every,"**Enhanced SR Storage is excluded from every object-weighted rate in this paper**, 35,161 of 262,883 series recorded and the class still running.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,41,data,every,"The **analysis-result unit is complete for every class reported** and is immune to that concentration, which is why the paper's lead result is stated over analysis results and the object-weighted figures are stated beside them rather than instead of them.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,53,procedure,none,"- **conformant but uninformative**: everything the standard requires is present, and none of it identifies the producing algorithm.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,62,procedure,nothing,A presence check over Type 1 attributes reports close to 100 percent and measures nothing except that the encoder obeyed the standard.,,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,69,procedure,zero,"**Type 1**: Enhanced General Equipment has Usage M in two of the eight IODs measured, binding four equipment attributes, where absent and zero length are both violations.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,69,procedure,zero,"**Type 2**: General Equipment has Usage M in all eight and carries Manufacturer, where absent is a violation and zero length is not.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,79,procedure,never,"`ImplementationClassUID` is captured and reported but never graded, because its Type designation is not among the standards rows this project verified against a primary source.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,88,data,never,"**Absence of a Type 3 carrier is a gap in the standard, not a defect in the object**, and is never counted as one.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,93,data,none,An `encoder` writes any analysis and identifies none; a `conversion` string says a third party converted the object; an `application` is a viewer; an `acquisition_vendor` on a derived object is equipment that did not produce it; an `institution` names an organisation without naming what it ran.,,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,102,procedure,every,"**Every value still unclassified is published verbatim**, because a named analysis with no rule is graded uninformative, and publishing the list is what makes that a stated undercount rather than a silent one.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,133,procedure,nothing,"The flag therefore separates strings that contain a caret from strings that do not, and says nothing about whether a value names a person, an organisation or a tool.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,141,procedure,nothing,"The behaviour probed is a property of the VR check and not of the message classes counted in Results, so nothing in section 2.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,146,procedure,every,"The classification is defended instead by what is publishable and checkable: both rule sets are runnable code with commit history, the complete distinct-value frequency table carries every value's label under each rule set, and both headline figures are reported as a declared sensitivity in 2.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,152,procedure,no value,"Values in those two attributes were read only to classify them and are reported as counts and category labels; where a distinct value is printed verbatim in a published table it is because the classification turns on it, and no value in the published residual is a personal name.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,177,procedure,never,The panel is **not uniform across SOP classes and is never described as an N-tool panel**.,,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,186,data,never,"`dicom-validator` emits no severity levels and demotes any 1C or 2C condition it cannot parse to Type 3, so it **fails open**; it is a second opinion on conditional attributes and never a rate source.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,193,data,never,"For Segmentation, two of the three conformance tools ran, recorded as NOT RUN and never as passed.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,204,data,never,Raw validator lines are never counted.,,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,204,procedure,every,"Every message is reduced to a template with tag values, UIDs, frame and item indices and quoted values stripped, hashed to a `message_class_id`, and **the unit of count is the distinct (SOPInstanceUID, message_class_id) pair**.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,217,procedure,never,**Exit status is never a verdict.,,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,217,procedure,never,"Return codes are recorded and never tested, and a static check asserts no module branches on one.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,228,procedure,every,"Consensus keeps only classes both passes called net; every disagreement drops to UNDECIDABLE, so the consensus rate can only move down and is a lower bound.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,235,procedure,cannot,"It does not establish that either reading is correct and it does not satisfy the intent of two independent adjudicators, which is two people who can disagree for reasons the instrument cannot generate.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,267,procedure,every,"Every rate is published as a triple: gross, floor, net.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,271,procedure,never,It is therefore never a scalar.,,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,275,procedure,cannot,A statistic whose value depends on which tool is asked cannot license a floor.,,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,289,procedure,zero,A median reports one camp as though it were a centre and an interquartile range of zero reads as agreement.,,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,306,procedure,every,"Every deviation below is declared with a **measured bound**, and no registration was edited after the fact.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,311,procedure,never,**The dicom3tools pin was never satisfied.,,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,311,data,never,"A pin never satisfied is a different object from a pin changed after seeing results, and only the second is what pre-registration exists to prevent.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,311,data,cannot,"Measured exposure: **LABELMAP zero objects**, so one of the three entries cannot have moved any number, and **TILED_FULL 1,001 objects, 2.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,311,data,never,"**Not measured**: `DimensionOrganizationType` was never captured for the census classes, so TILED_FULL exposure is unmeasured over **691 Parametric Map objects**, the only census class whose IOD can carry it.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,327,procedure,never,**The highdicom pin was never satisfied.,,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,327,data,zero,"Exposure is **zero**: no module producing a measured number uses highdicom as an instrument, and **0 of 7,100** highdicom-written objects in the measured set were written by either version (DEV-02).",DEV-02,backed,row DEV-02 states the same absence or universal
results/manuscript/methods.md,methods,336,data,every,"Every rate in this paper is exact over the objects measured, and no rate carries a bound.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,336,data,never,"The Segmentation figures are therefore descriptive of the sample rather than estimates of the archive, and are never labelled otherwise.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,354,procedure,every,"Every Type designation this paper relies on was re-read from **the standard itself**, edition PS3.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,354,procedure,zero,"**17 of 17 assertions reproduce, zero failures** (STD-07).",STD-07,backed,row STD-07 states the same absence or universal
results/manuscript/methods.md,methods,354,procedure,nothing,"Nothing was fetched: the DocBook and the parsed module and IOD tables are pre-seeded on the measurement machine under PRE-04, and the DocBook neighbourhood of each load-bearing row is published so a reader can check the parse against the text.",PRE-04,adjacent,"cited row exists; its value does not restate the absence, so a human should read it"
results/manuscript/methods.md,methods,369,procedure,zero,5 [9] that a zero-length Type 3 element means the same as absence.,,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,369,procedure,zero,"The present-but-incomplete cell of the lead finding is therefore zero partly by construction of the standard and not only by observation of these writers, and Results says which.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,398,procedure,every,Every quantitative statement that reaches this manuscript carries a row in `results/ledger.,,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,398,procedure,cannot,"** Withdrawn claims stay in the ledger with the reason, so a number that was wrong cannot quietly return.",,unbacked,no ledger row is cited in the sentence
results/manuscript/methods.md,methods,416,procedure,every,"They are named with the controls that make the output checkable: independent third-party validators, a published rule table for every classification, generated rather than typed write-ups, and the claims ledger.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,5,procedure,zero,"77 GB against a 150 GB budget, with zero fetch failures and zero read failures (PRE-06).",PRE-06,adjacent,"cited row exists; its value does not restate the absence, so a human should read it"
results/manuscript/results.md,results,11,data,every,"**Enhanced SR Storage is excluded from every object-weighted rate reported below**, 35,161 of 262,883 series recorded and the class still running.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,14,data,every,The analysis-result unit is complete for every class reported.,,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,14,data,no object,"Both are given, and no object-weighted figure appears in this section without the exclusion in the same sentence.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,23,procedure,none,"33 percent, are conformant but uninformative**: everything the standard requires of them is present, and none of it identifies what produced the result.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,35,data,every,"Table 2 carries the leave-one-class-out column for every class, and no other class moves the uninformative rate by more than about one and a half points except Segmentation, which moves it up to 89.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,52,data,not one,"At the segment level two attributes carry the question and **they are governed differently, so they are two claims and not one** (STD-07).",STD-07,adjacent,"cited row exists; its value does not restate the absence, so a human should read it"
results/manuscript/results.md,results,55,data,no validator,**Omitting it is legal and no validator can flag it.,,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,61,procedure,every,"Where the standard compels a name, the archive supplies one almost everywhere.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,67,data,every,"The two together are the finding: the attribute the standard compels is populated almost everywhere, and the attribute that would actually identify an algorithm is optional and is absent from 93.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,71,data,every,"** On the 4 objects carrying the 12 omissions, `dciodvfy` raises the missing Type 1C message on every one.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,71,data,all of,"`dicom-validator` does not raise it on all of them, which is consistent with its registered behaviour of demoting conditional attributes it cannot parse and failing open (P3-05).",P3-05,adjacent,"cited row exists; its value does not restate the absence, so a human should read it"
results/manuscript/results.md,results,77,procedure,zero,**Incompleteness is a third state and it is zero.,,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,77,data,not one,** Not one segment carries the sequence present but incomplete (P3-02).,P3-02,adjacent,"cited row exists; its value does not restate the absence, so a human should read it"
results/manuscript/results.md,results,77,procedure,zero,"That zero is **partly by construction**: CP-2273 [10], applied to the standard at edition 2026b, settles in PS3.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,77,procedure,nothing,"5 [9] that a zero-length Type 3 element means the same as absence, so an encoder that writes the sequence with nothing in it produces absence rather than incompleteness under the current standard.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,77,procedure,zero,"The observed zero is therefore not only an empirical result about these writers, and this text says so rather than claiming the stronger reading.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,111,procedure,nothing,"Nothing is reclassified here: the rule table is published, the residual is published, and moving a rule to catch these two would be adjudicating our own result.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,145,procedure,nothing,"3 2026c [8] compels a non-empty equipment value in 2 of the 8 IODs measured, compels the mere presence of a manufacturer string, possibly zero length, in 8 of 8, and compels nothing at all about model, serial or software version in the remaining 6.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,154,procedure,zero,"**Presence, possibly zero length, is compelled in 8 of 8.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,154,procedure,every,** General Equipment has Usage M in every class measured and carries Manufacturer at Type 2.,,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,154,procedure,nothing,"**Nothing at all is compelled in 6 of 8** for model, serial or software version, which are Type 3 in General Equipment.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,162,procedure,never,Outside two IODs the standard compels the existence of a manufacturer string and never compels it to mean anything.,,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,175,data,zero,"**1,363 Segmentation objects fail the Type 1 tier**: DeviceSerialNumber is absent on 966 and zero-length on 397, and dciodvfy and dicom-validator each raise a matching message on all 1,363, splitting absent from empty exactly as the three-state capture does (C3T-08).",C3T-08,backed,row C3T-08 states the same absence or universal
results/manuscript/results.md,results,175,data,every,"Those are the only two ways an object in this archive can be non-conformant on carrier grounds, and between them they account for every one of the 1,403.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,200,data,no object,"** No object is non-conformant for an index that disagrees with it, because the index is not part of the object.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,200,data,cannot,"Its headline is **691 of 691 Parametric Map objects**, a whole class in which the catalogue cannot name the writer and the object can.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,205,procedure,every,Every move is decided by a carrier the index does not expose.,,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,205,data,nothing,"For Segmentation alone the count is 1,001 objects, and the pre-registered response to a writer label moving was to relabel and report the reallocation, never to redraw; nothing was redrawn (P3-12).",P3-12,backed,row P3-12 states the same absence or universal
results/manuscript/results.md,results,244,procedure,cannot,"The single departure is V9, the deflated transfer syntax, which the pinned `dciodvfy` build cannot read at all, and that rung is adjudicated UNDECIDABLE for exactly that reason (B-05).",B-05,adjacent,"cited row exists; its value does not restate the absence, so a human should read it"
results/manuscript/results.md,results,251,procedure,never,** The registered build was never satisfied and the build that ran is the one the prior paper used.,,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,251,data,zero,"85 percent of the measured set, and zero LABELMAP objects (DEV-01).",DEV-01,backed,row DEV-01 states the same absence or universal
results/manuscript/results.md,results,264,data,no validator,"No validator is adjudicated correct against another, per PRE-03.",PRE-03,adjacent,"cited row exists; its value does not restate the absence, so a human should read it"
results/manuscript/results.md,results,271,procedure,every,"Net rates are reported under the two-pass consensus, where a message class counts only where both adjudication passes called it net and every disagreement drops to UNDECIDABLE.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,319,procedure,never,"Every claim of a first in this paper is a claim of **first published measurement**, never of first performed.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,330,data,every,"**Enhanced SR Storage is excluded from every object-weighted rate**, 35,161 of 262,883 series recorded and the class still running.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,335,procedure,never,"It is the anchor for claim 2, which is why claim 2 is reported as direction and never as an error rate in any tool.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,340,procedure,no claim,No claim is made about it.,,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,351,data,none,"The consensus rule therefore discards 212 classes, and every net rate is nonetheless unchanged only because the objects those classes flagged already carried another net class.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,373,data,zero,"** The dicom3tools pin: the registered build differs from the build that ran on three changelog entries, all conditioned on LABELMAP or TILED_FULL; exposure is zero LABELMAP objects and 1,001 TILED_FULL objects, 2.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,373,data,no object,"The highdicom pin: exposure is zero, because no module producing a measured number uses highdicom as an instrument and no object in the measured set was written by either version (DEV-02).",DEV-02,backed,row DEV-02 states the same absence or universal
results/manuscript/results.md,results,387,data,none,"9 registers a clustered interval as the one that would be quoted and none was computed, so the Segmentation rates are arithmetically correct over the objects measured and are unbounded rather than estimated.",,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,387,procedure,never,They are never labelled population estimates.,,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,387,procedure,never,7 rather than left to a reader to notice that the word appears twice as a promise and never as a number.,,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,398,procedure,every,** Every figure is scoped to IDC v24 and the frame is void on the next release.,,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,403,data,no object,- **No object-weighted rate that includes Enhanced SR Storage.,,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,403,procedure,no claim,- **No claim that either adjudication pass is correct.,,unbacked,no ledger row is cited in the sentence
results/manuscript/results.md,results,403,procedure,none,9 describes a clustered interval as the one that would be quoted; none was computed.,,unbacked,no ledger row is cited in the sentence
results/manuscript/discussion.md,discussion,9,procedure,never,"""* The standards body wrote the thesis of this paper down as an expectation, and the expectation was never checked against a corpus.",,unbacked,no ledger row is cited in the sentence
results/manuscript/discussion.md,discussion,26,procedure,every,"Identity therefore **first** appears at level 3 and appears again at level 4, and Table 3 reports both the first level and every level at which it appears so the two cannot be confused.",,unbacked,no ledger row is cited in the sentence
results/manuscript/discussion.md,discussion,26,procedure,never,The correct statement is not that producers never record identity.,,unbacked,no ledger row is cited in the sentence
results/manuscript/discussion.md,discussion,57,procedure,nothing,"A non-empty equipment value is compelled in two of the eight IODs measured, mere presence of a manufacturer string is compelled in all eight, and nothing at all is compelled about model, serial or software version in the other six.",,unbacked,no ledger row is cited in the sentence
results/manuscript/discussion.md,discussion,64,data,none,"The consequence is measured: the attribute carrying the condition is omitted on 12 of 36,488 non-MANUAL segments, and the attribute carrying none is omitted on 34,234 of the same 36,488.",,unbacked,no ledger row is cited in the sentence
results/manuscript/discussion.md,discussion,77,data,nothing,"Nothing in that requires a new concept, a new code or a new attribute.",,unbacked,no ledger row is cited in the sentence
results/manuscript/discussion.md,discussion,84,data,every,"And WG-06's recent pattern runs the other way: **CP-2428 [12] includes the Algorithm Identification Macro into the RT Dose Module and makes every added attribute Type 3, and CP-2320 [13], the AI-provenance precedent, is also Type 3.",,unbacked,no ledger row is cited in the sentence
results/manuscript/discussion.md,discussion,143,data,every,"33 percent, are conformant but uninformative**, and over the unit that is complete producer identity is absent at every carrier level in 25 of 36 analysis-result cells.",,unbacked,no ledger row is cited in the sentence
results/manuscript/front_matter.md,front matter,3,procedure,every,"Everything a submission portal asks for before the manuscript itself, adapted to a study that uses only public data and holds no patient contact.",,unbacked,no ledger row is cited in the sentence
results/manuscript/front_matter.md,front matter,14,procedure,cannot,]` are the ones this repository cannot establish and the author fills in.,,unbacked,no ledger row is cited in the sentence
results/manuscript/front_matter.md,front matter,46,procedure,none,The tools whose output is counted here were written by other people and none of them is the author's.,,unbacked,no ledger row is cited in the sentence
results/manuscript/front_matter.md,front matter,59,procedure,none,"It used none of that company's data, code, hardware, network, licences or working time.",,unbacked,no ledger row is cited in the sentence
results/manuscript/front_matter.md,front matter,101,procedure,no value,"1 states what was done about that: values in those attributes were read only in order to classify them, are reported as counts and category labels, and no value in the published residual is a personal name.",,unbacked,no ledger row is cited in the sentence
results/manuscript/front_matter.md,front matter,110,procedure,every,"2** [25], which is the exact index version every count in this paper is computed against.",,unbacked,no ledger row is cited in the sentence
results/manuscript/front_matter.md,front matter,121,procedure,every,"Every generated artefact behind every figure and table, including the complete distinct-value frequency table and the published unclassified residual, is in `results/` in the code repository below.",,unbacked,no ledger row is cited in the sentence
results/manuscript/front_matter.md,front matter,127,procedure,every,"All measurement code, the claims ledger carrying every quantitative statement in this paper, the generated tables and the figure builders are published under the MIT licence at https://github.",,unbacked,no ledger row is cited in the sentence
results/manuscript/front_matter.md,front matter,152,procedure,every,"Sole author, so every role is the author's.",,unbacked,no ledger row is cited in the sentence
results/manuscript/front_matter.md,front matter,152,procedure,every,"Stated in full rather than abbreviated to ""the author did everything"", because the point of CRediT is that the roles are separable and a reader can see which ones an LLM assisted with, which is set out in the declaration below.",,unbacked,no ledger row is cited in the sentence
results/manuscript/front_matter.md,front matter,184,procedure,every,** Wrote the measurement code and its tests; ran those modules and generated the write-ups in `results/`; ran the prior-art search and recorded every query verbatim; produced the second adjudication pass; and drafted the manuscript text.,,unbacked,no ledger row is cited in the sentence
results/manuscript/front_matter.md,front matter,189,data,none,"Conformance is scored only by `dciodvfy` [18], `dicom-validator` [20] and `dcmpschk` [19], with highdicom's reader [23] as a fourth opinion, none of which is in this repository.",,unbacked,no ledger row is cited in the sentence
results/manuscript/front_matter.md,front matter,189,procedure,every,It did not supply any figure from memory: every number in `results/` is computed from the local index at run time by code in the repository.,,unbacked,no ledger row is cited in the sentence
results/manuscript/front_matter.md,front matter,197,procedure,cannot,"** Four, all runnable by a reviewer: the independent third-party validators above; the claims ledger, where a rate quoted without its floor fails the build; write-ups generated by the same code that computes their numbers, so a number cannot drift away from its table; and the test suite, which check",,unbacked,no ledger row is cited in the sentence
results/manuscript/front_matter.md,front matter,210,procedure,every,"** The author is responsible for every claim in this paper and in the repository behind it, including those produced with LLM assistance.",,unbacked,no ledger row is cited in the sentence
results/manuscript/figures.md,figure legends,3,procedure,nothing,"Each is generated from the artefact named beside it and from nothing else, and every value annotated on a figure is checked against the ledger rows listed here by `tests/test_figures.",,unbacked,no ledger row is cited in the sentence
results/manuscript/figures.md,figure legends,9,procedure,none,"36 is few enough to label every cell, so none is binned.",,unbacked,no ledger row is cited in the sentence
results/manuscript/figures.md,figure legends,33,data,every,"Three real objects side by side, values verbatim from the Phase 3 records, tracing every carrier from the equipment attributes through the file meta to the algorithm carriers.",,unbacked,no ledger row is cited in the sentence
results/manuscript/figures.md,figure legends,33,procedure,never,"Values are truncated only on a word boundary and marked with an ellipsis, so a clipped string is never mistaken for the value.",,unbacked,no ledger row is cited in the sentence
results/manuscript/figures.md,figure legends,37,data,every,"The silent column was drawn from `dicom_lidc_idri_nodules`, every segment of which declares MANUAL.",,unbacked,no ledger row is cited in the sentence
results/manuscript/figures.md,figure legends,37,procedure,nothing,"That silence is legitimate: the condition never fires, so nothing was omitted and nothing was avoided, and it is not the case this paper is about.",,unbacked,no ledger row is cited in the sentence
results/manuscript/figures.md,figure legends,37,procedure,nothing,"The condition fires, the standard is satisfied, and nothing at any level names a producer.",,unbacked,no ledger row is cited in the sentence
results/manuscript/figures.md,figure legends,61,data,every,"Panel b is the residue, which is 1 at every rung under dicom-validator and 1 at eight rungs and 2 at V9 under dciodvfy.",,unbacked,no ledger row is cited in the sentence
results/manuscript/figures.md,figure legends,90,procedure,every,"Every one of them has moved into the legend, and each figure now returns its sentence as `title_for_the_legend` so the legend and the image cannot say different things.",,unbacked,no ledger row is cited in the sentence
results/manuscript/figures.md,figure legends,107,procedure,nothing,It is drawn at the column width now and nothing is scaled.,,unbacked,no ledger row is cited in the sentence
results/manuscript/figures.md,figure legends,114,procedure,every,"One accent colour for the thing a figure is about, grey for everything it is compared against, and a second muted tone only where a figure must separate two kinds of absence.",,unbacked,no ledger row is cited in the sentence
results/manuscript/figures.md,figure legends,114,procedure,every,"Every axis carries its unit, every denominator is in the caption rather than implied, and where a figure shows a rate the floor it is quoted against is on the figure or in its caption.",,unbacked,no ledger row is cited in the sentence
results/manuscript/figures.md,figure legends,120,procedure,cannot,"The fact moved into a strip below the axis, which cannot be mistaken for a value.",,unbacked,no ledger row is cited in the sentence
results/manuscript/figures.md,figure legends,128,procedure,cannot,"** Object-weighted figures carry the Enhanced SR exclusion and the concentration distortion, and a figure cannot carry a qualifying sentence.",,unbacked,no ledger row is cited in the sentence
results/manuscript/tables.md,tables,3,procedure,every,Every table names the ledger rows it rests on.,,unbacked,no ledger row is cited in the sentence
results/manuscript/tables.md,tables,7,data,every,"Enhanced SR Storage is **excluded from every object-weighted rate in this paper**, 35,161 of 262,883 series recorded and the class still running, because a partial class reads as a rate.",,unbacked,no ledger row is cited in the sentence
results/manuscript/tables.md,tables,7,procedure,every,Analysis-result cells are complete for every class listed.,,unbacked,no ledger row is cited in the sentence
results/manuscript/tables.md,tables,22,procedure,never,"Three grades, never two, by SOP class, with the ceiling the standard sets.",,unbacked,no ledger row is cited in the sentence
results/manuscript/tables.md,tables,22,procedure,zero,"**Type 1**, Enhanced General Equipment with Usage M, binds four equipment attributes in the two IODs marked `yes`, where absent and zero length are both violations.",,unbacked,no ledger row is cited in the sentence
