sop_class_name,validator,message_class_id,severity_as_emitted,objects,family,message_template,adjudication1_raw,adjudication1,adjudication1_strict,citation_section1,pre_disclosed,adjudication2,citation_section2,citation_table2,rationale2,rule2,net1,net2,consensus,agreed
comprehensive_3d_sr,dciodvfy,4d1cb6689c65,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-B0040> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,7365846b2b7c,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0104> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,7cbe9ddce4b4,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0090> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,89cd23320e02,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0083> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,8a033c6c013d,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0084> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,8db5add473e2,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0134> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,963861966938,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0117> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,ce63795357f6,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0078> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,dd94b0d168f2,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0063> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,e581bf9763fd,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0221> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,e98c6d340eb6,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0216> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,f3af4ceb87c7,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0105> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,f80cba969ea9,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0050> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,fb32009fe97b,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0037> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,fe1ea93077b7,Warning,6,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0165> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,0ec0a056b81d,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-B0033> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,129b83c94163,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0258> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,17c9f6b01efc,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0126> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,23aafb1fa046,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0015> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,2f5fb4d7f910,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0014> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,3ee2ffb8d691,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0103> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,5417b74edcb5,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0038> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,54d3296ad901,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0036> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,6c113dc688f8,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0040> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,6d59b3841b0a,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0178> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,77e01d2d1ff5,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0035> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,8879354177d3,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0039> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,887c1ca0bee4,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0167> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,c03b739c6394,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0113> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,c45c3ecf1172,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0045> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,ce1dd7445b58,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0185> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,d3e41712bc5e,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0038> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,fe4cfd720c83,Warning,5,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0087> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,0244dc295464,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-G0033> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
comprehensive_3d_sr,dciodvfy,02726ce38e0d,Warning,4,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [n] = <VALUE> - Retired Person Name form,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-A0253> - Retired Person Name form,PLAUSIBILITY,FLOOR,PLAUSIBILITY,"not applicable, no requirement is cited by the message",False,FLOOR,PS3.5 Section 6.2,Table 6.2-1,"A single-component PN with no caret delimiters is a legal PN value. The warning is about a deprecated component form, not about conformance, and it fires on de-identified subject identifiers by construction.",Retired Person Name form,False,False,FLOOR,True
