id,section,status,claim_truncated,source_file,source_exists,carried_by,derived_from,derived_from_ok,superseded_by,superseded_by_ok,pinned_by_test,test_exists,has_floor
C3-13,C3,MEASURED,The series-weighted encoder rate is substantially attrib ...,results/phase0/provenance_leave_one_out.csv,yes,results/pre06_sampling_frame.md,C3-12,yes,,,tests/test_phase0.py::test_leave_one_out,yes,yes
C3-14,C3,PENDING,"The normative yardstick for claim 3 is PS3.3 Final Text, ...",,none named,,,,,,,,yes
C3-06-air,C3,RETIRED,The IHE AI Results profile section 6.5.3.1 is the normat ...,,none named,,,,C3-14,yes,,,yes
C3-15,C3,MEASURED,"Scoring is semantic, not presence-based, and absent, emp ...",results/sentinels.json,yes,,"W-04,C3-14",yes,,,tests/test_phase0.py::test_provenance_population,yes,yes
C3-02-prev,C3,RETIRED,The majority of derived series declare a general purpose ...,,none named,,,,C3-02,yes,,,yes
C3-09,C3,PENDING,De-identification is a confounder on any absence-based p ...,results/claim3_provenance.md and results/phase0/provenance_*.csv,yes,,,,,,,,yes
PA-01,PA,LITERATURE,No publication measures conformance or provenance of AI- ...,results/prior_art.md,yes,results/prisma_s_appendix.md,,,,,,,yes
PA-02,PA,LITERATURE,Three works partially occupy adjacent ground and must be ...,results/prior_art.md,yes,,PA-01,yes,,,,,yes
PA-03,PA,LITERATURE,"Validation of public DICOM archives is a documented, rou ...",results/prior_art.md,yes,results/ai_use.md,PA-01,yes,,,,,yes
PA-03-prev,PA,RETIRED,The published state of the art in validating a public DI ...,results/prior_art.md,yes,,,,PA-03,yes,,,yes
PA-08,PA,PENDING,The genuinely uncovered ground is warnings. Existing col ...,results/prior_art.md,yes,results/prisma_s_appendix.md,PA-03,yes,,,,,yes
PA-09,PA,PENDING,The denominators this study reports already exist inside ...,results/prior_art.md,yes,results/prisma_s_appendix.md,PA-03,yes,,,,,yes
PA-04,PA,LITERATURE,No public corpus of clinical or archive-derived GSPS obj ...,results/prior_art.md,yes,,"PA-01,P0-05",yes,,,,,yes
PA-05,PA,RETIRED,The brief's characterisation of the peer-reviewed GSPS l ...,results/prior_art.md,yes,results/ai_use.md,,,,,,,yes
PA-06,PA,LITERATURE,"Claim 2 is a measurement of an acknowledged phenomenon, ...",results/prior_art.md,yes,results/ai_use.md,PA-01,yes,,,,,yes
PA-07,PA,PENDING,"A manual pass over Google Scholar, Scopus, Web of Scienc ...",results/prior_art.md,yes,results/prior_art_recheck.md;results/prisma_s_appendix.md;results/prisma_s_rows.csv,,,,,,,yes
W-01,W,MEASURED,"A writer census over the derived population, needed befo ...",results/phase0/writer_census.csv,yes,results/pre06_sampling_frame.md,,,,,tests/test_writers.py::test_writer_census,yes,yes
W-02,W,MEASURED,Producer identity for the largest analysis result is rec ...,results/phase0/carrier_hierarchy.csv,yes,,C3-11,yes,,,tests/test_writers.py::test_carrier_hierarchy,yes,yes
W-03,W,MEASURED,Unstable declared spellings cause measurable recall loss ...,results/phase0/cohort_recall.json,yes,,C3-04,yes,,,tests/test_writers.py::test_cohort_recall,yes,yes
W-04,W,MEASURED,"A published sentinel list is required, because the attri ...",results/sentinels.json,yes,,,,,,tests/test_writers.py::test_sentinels_published,yes,yes
V-01,V,MEASURED,"The panel has two axes. Axis 1 is conformance, scored by ...",results/panel.json,yes,,,,,,tests/test_panel.py::test_every_class_has_both_axes,yes,yes
V-02,V,MEASURED,"Axis 2 is asymmetric and informative only on failure, be ...",results/panel.json,yes,,"C3-04,V-01",yes,,,,,yes
V-03,V,MEASURED,PixelMed DicomSRValidator is in the panel for all struct ...,results/panel.json,yes,,,,,,,,yes
V-04,V,PENDING,The PixelMed jar is not yet present in the pinned toolch ...,results/panel.json,yes,results/manuscript/methods.md;results/manuscript/references.md;results/manuscript/results.md;results/phase3_segmentation.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,,,,,,,yes
V-05,V,MEASURED,pydicom-seg is excluded from the panel and the reason is ...,results/panel.json,yes,results/ai_use.md,,,,,,,yes
V-06,V,VERIFIED,Panel independence is declared rather than assumed. Two ...,results/panel.json,yes,results/manuscript/methods.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,,,,,,,yes
V-07,V,MEASURED,The dcmqi readers are pinned at the build installed in t ...,results/panel.json,yes,,,,,,,,yes
V-08,V,MEASURED,The panel is not uniform across SOP classes and is never ...,results/panel.json,yes,,,,,,tests/test_panel.py::test_panel_is_not_uniform,yes,yes
V-09,V,MEASURED,Every tool considered and excluded is listed with a stat ...,results/panel.json,yes,,,,,,tests/test_panel.py::test_excluded_tools_carry_a_reason_and_a_consequence,yes,yes
V-10,V,PENDING,Two parts of the panel are weak and are declared weak in ...,results/panel.json,yes,,,,,,,,yes
PRE-02,V,PENDING,Writer-aware scoring. Every axis-2 result is labelled IN ...,results/panel.json,yes,results/table1_writers.md,"W-01,V-02",yes,,,,,yes
PRE-03,V,PENDING,"Claim 2 adjudication rule. Where validators disagree, th ...",results/panel.json,yes,results/ai_use.md;results/manuscript/absence_claims.csv;results/manuscript/absence_claims.md;results/manuscript/methods.md;results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,,,,,,,yes
PRE-04,V,PENDING,"Standard-edition control. One edition is pinned, dicom-v ...",results/panel.json,yes,results/adjudication2/two_pass_comparison.csv;results/manuscript/absence_claims.csv;results/manuscript/absence_claims.md;results/manuscript/methods.md;results/manuscript/references.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,,,,,,,yes
PRE-05,V,PENDING,"Claim 1 threshold, set before the data. PRE-01 predicted ...","results/phase2/net_rates_rwv_kos.md, results/phase2/net_rates_gsps.md, results/phase2/net_rates_parametric_map.md, results/phase2/net_rates_comprehensive_sr.md, results/phase2/net_rates_comprehensive_3d_sr.md, results/phase2/net_rates_comprehensive_3d_sr.md",yes,results/manuscript/results.md;results/manuscript/tables.md;results/phase2/adjudication_gsps.csv;results/phase2/net_rates_comprehensive_3d_sr.md;results/phase2/net_rates_comprehensive_sr.md;results/phase2/net_rates_gsps.md;results/phase2/net_rates_parametric_map.md;results/phase2/net_rates_rwv_kos.md;results/pre06_sampling_frame.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md,"C-KOS-05,C-GSPS-09,C-PM-09,C-CSR-11,C-C3D-12,C-C3D-12",yes,,,,,yes
PRE-06,V,MEASURED,"Sampling frame, fixed before seeing which strata look in ...",results/phase3_segmentation.md,yes,results/ai_use.md;results/cp/README.md;results/manuscript/absence_claims.csv;results/manuscript/absence_claims.md;results/manuscript/methods.md;results/manuscript/results.md;results/manuscript/table1.csv;results/manuscript/tables.md;results/phase3_segmentation.md;results/pre06_sampling_frame.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md,,,,,,,yes
PRE-07,V,PENDING,Manual verification sample. The panel is entirely automa ...,results/panel.json,yes,results/manuscript/methods.md;results/manuscript/results.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,PRE-03,yes,,,,,yes
PRE-01,PRE,RETIRED,Pre-registered prediction. Claim 1 will return largely n ...,results/phase2/net_rates_rwv_kos.md,yes,results/ai_use.md;results/manuscript/methods.md;results/manuscript/results.md;results/phase2/net_rates_comprehensive_3d_sr.md;results/phase2/net_rates_comprehensive_sr.md;results/phase2/net_rates_gsps.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md,"PRE-05,C-KOS-05,C-CSR-11",yes,,,,,yes
STD-01,STD,VERIFIED,The Algorithm Identification Macro has six attributes. T ...,results/standards.json,yes,results/typecheck/type_reverification.csv,,,,,tests/test_standards.py::test_macro_tags,yes,yes
STD-02,STD,VERIFIED,"SegmentationAlgorithmIdentificationSequence (0062,0007) ...",results/standards.json,yes,results/phase3_segmentation.md;results/typecheck/type_reverification.csv,,,,,tests/test_standards.py::test_segmentation_hypothesis_is_dead,yes,yes
STD-02-hyp,STD,RETIRED,Segmentation objects declaring SegmentAlgorithmType AUTO ...,results/standards.json,yes,,,,STD-02,yes,,,yes
STD-03,STD,VERIFIED,Two conformance hooks survive in the Segmentation IOD an ...,results/standards.json,yes,results/ihe_air_table.md;results/standards.json;results/typecheck/type_reverification.csv,STD-02,yes,,,tests/test_standards.py::test_surviving_hooks,yes,yes
STD-04,STD,VERIFIED,Enhanced General Equipment is Mandatory in the Segmentat ...,results/standards.json,yes,results/figures/manifest.json;results/ihe_air_table.md;results/manuscript/figures.md;results/manuscript/methods.md;results/manuscript/tables.md;results/standards.json;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md;results/submission/05_figure_legends.md;results/typecheck/type_reverification.csv,,,,,tests/test_standards.py::test_enhanced_general_equipment,yes,yes
STD-05,STD,MEASURED,"Results are reported in three grades, never two: non-con ...",results/standards.json,yes,,"STD-02,STD-04",yes,,,,,yes
STD-06,STD,VERIFIED,IHE AIR imposes an unconditional shall on the Creator to ...,results/standards.json,yes,results/ihe_air_table.md;results/standards.json,,,,,tests/test_standards.py::test_air_is_normative_and_tested,yes,yes
STD-06-untested,STD,RETIRED,IHE AIR has no Connectathon test case and no Gazelle tes ...,results/standards.json,yes,,,,STD-06,yes,,,yes
F1-01,F1,MEASURED,The validator floor is writer-specific. On the only clas ...,results/floor_set.csv,yes,results/manuscript/methods.md;results/manuscript/results.md;results/manuscript/tables.md;results/pre06_sampling_frame.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md,,,,,tests/test_floor.py::test_headline_overlap,yes,yes
F1-02,F1,MEASURED,A conformant highdicom Segmentation draws zero dciodvfy ...,results/floor_set.csv,yes,,F1-01,yes,,,,,yes
F1-03,F1,MEASURED,The two validators disagree about whether the floor tran ...,results/floor_set.csv,yes,results/manuscript/tables.md;results/submission/04_tables.md,F1-01,yes,,,,,yes
F1-04,F1,MEASURED,dcmqi could not emit two of the four nominated shared cl ...,results/floor_set.csv,yes,,,,,,tests/test_floor.py::test_emission_gaps_recorded,yes,yes
F1-05,F1,MEASURED,"The two writers place TID 1500 in different SOP classes, ...",results/floor_set.csv,yes,results/manuscript/table2_floor_set.md,,,,,tests/test_floor.py::test_sr_sop_classes_differ,yes,yes
F1-06,F1,MEASURED,dciodvfy exit status is not a verdict. Every object in t ...,results/floor_set.csv,yes,,,,,,tests/test_floor.py::test_exit_status_is_not_a_verdict,yes,yes
F1-07,F1,MEASURED,The registered message-matching rule is incomplete and w ...,results/floor_set.csv,yes,,,,,,tests/test_floor.py::test_both_severity_forms_match,yes,yes
F1-08,F1,PENDING,Two registered tool pins are not satisfied on this machi ...,results/floor_set.csv,yes,,,,,,,,yes
F1-09,F1,MEASURED,Content was held equal across writers and verified befor ...,results/floor_set.csv,yes,,,,,,tests/test_floor.py::test_content_equality,yes,yes
P2P-01,P2P,MEASURED,"Pilot of ten dcmqi-written Segmentation series from IDC, ...",results/phase2/pilot_provenance.csv,yes,,,,,,tests/test_pilot.py::test_pilot_shape,yes,yes
P2P-02,P2P,MEASURED,The dcmqi ClinicalTrialSeries message class seen on the ...,results/phase2/pilot_message_classes.csv,yes,,F1-01,yes,,,tests/test_pilot.py::test_target_message_class,yes,yes
P2P-03,P2P,MEASURED,"Message classes observed across the pilot, by validator ...",results/phase2/pilot_message_classes.csv,yes,,,,,,,,yes
P2P-04,P2P,MEASURED,"SoftwareVersions (0018,1020) captured verbatim in three ...",results/phase2/pilot_provenance.csv,yes,,STD-04,yes,,,tests/test_pilot.py::test_provenance_states,yes,yes
P2P-05,P2P,MEASURED,File-meta identification names the encoding library's ow ...,results/phase2/pilot_provenance.csv,yes,results/manuscript/tables.md;results/submission/04_tables.md,C3-11,yes,,,tests/test_pilot.py::test_file_meta_names_dcmtk,yes,yes
P2P-08,P2P,MEASURED,A minority of objects declaring dcmqi in the equipment a ...,results/phase2/pilot_provenance.csv,yes,results/manuscript/table1_writers.md,P2P-05,yes,,,,,yes
P2P-09,P2P,MEASURED,SoftwareVersions on dcmqi-written corpus objects is an a ...,results/phase2/pilot_provenance.csv,yes,results/manuscript/tables.md;results/submission/04_tables.md,"W-04,P2P-04",yes,,,tests/test_pilot.py::test_software_versions_are_commit_hashes,yes,yes
P2P-06,P2P,MEASURED,"ContributingEquipmentSequence (0018,A001) on dcmqi-writt ...",results/phase2/pilot_provenance.csv,yes,,STD-06,yes,,,tests/test_pilot.py::test_contributing_equipment,yes,yes
P2P-07,P2P,MEASURED,"s5cmd was used to fetch rather than the AWS CLI, which i ...",results/phase2/pilot_fetch_log.csv,yes,,,,,,,,yes
F1-03-prev,F1,RETIRED,dicom-validator returns an identical six-class set for b ...,results/floor_set.csv,yes,results/manuscript/table2_floor_set.md,,,F1-03,yes,,,yes
F1-10,F1,MEASURED,A parser defect in this project silently dropped a class ...,results/floor_set.csv,yes,results/manuscript/table2_floor_set.md,,,,,tests/test_floor.py::test_unindented_findings_are_not_dropped,yes,yes
P2C-01,P2C,PENDING,Phase 2 census of the eight non-Segmentation derived cla ...,results/phase2/census_rates.csv,yes,results/manuscript/tables.md;results/submission/04_tables.md,,,,,tests/test_census.py::test_no_partial_class_is_reported,yes,yes
P2C-02,P2C,MEASURED,Gross error-class and warning-class rates by SOP class a ...,results/phase2/census_message_classes.csv,yes,results/phase2/net_rates_gsps.md,,,,,,,yes
P2C-03,P2C,MEASURED,"Provenance carriers are reported in three states, and ze ...",results/phase2/census_provenance_states.csv,yes,,STD-04,yes,,,tests/test_census.py::test_three_state_provenance,yes,yes
P2C-04,P2C,MEASURED,dcmpschk reports its own success line with a severity pr ...,results/phase2/census_message_classes.csv,yes,results/phase2/net_rates_gsps.md,,,,,,,yes
B-01,B1,MEASURED,The Phase 1 headline reproduces under the variant harnes ...,results/phase1_variants.csv,yes,,F1-01,yes,,,tests/test_variants.py::test_baseline_reproduces_phase_one,yes,yes
B-02,B1,MEASURED,The two writers' dciodvfy floor sets on SEG BINARY are n ...,results/phase1_variants.csv,yes,results/figures/manifest.json;results/manuscript/figures.md;results/manuscript/results.md;results/manuscript/tables.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md;results/submission/05_figure_legends.md,B-01,yes,,,tests/test_variants.py::test_dciodvfy_ladder_jaccards,yes,yes
B-03,B1,MEASURED,The dicom-validator floor sets on SEG BINARY stay unequa ...,results/phase1_variants.csv,yes,results/figures/manifest.json;results/manuscript/figures.md;results/manuscript/results.md;results/manuscript/tables.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md;results/submission/05_figure_legends.md,F1-03,yes,,,tests/test_variants.py::test_dicom_validator_ladder_jaccards,yes,yes
B-04,B1,MEASURED,No variant flips the direction of the finding ...,results/phase1_variants.csv,yes,,"B-02, B-03",yes,,,tests/test_variants.py::test_direction_never_flips,yes,yes
B-05,B1,MEASURED,Deflated Explicit VR Little Endian is not read by the pi ...,results/phase1_variants.csv,yes,results/figures/manifest.json;results/manuscript/absence_claims.csv;results/manuscript/absence_claims.md;results/manuscript/figures.md;results/manuscript/results.md;results/manuscript/tables.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md;results/submission/05_figure_legends.md,,,,,tests/test_variants.py::test_deflate_is_a_reader_failure_not_an_iod_finding,yes,yes
B-06,B1,MEASURED,Two of the nine variants are Segmentation-only by defini ...,results/phase1_variants.csv,yes,,,,,,tests/test_variants.py::test_not_applicable_cells_are_recorded,yes,yes
B-07,B1,MEASURED,The round-trip control shows the pydicom re-save the lad ...,results/phase1_variants.csv,yes,,,,,,tests/test_variants.py::test_round_trip_control_moves_nothing,yes,yes
B-08,B1,MEASURED,SEG FRACTIONAL and Parametric Map carry no between-write ...,results/phase1_variants.csv,yes,,F1-04,yes,,,tests/test_variants.py::test_single_writer_classes_carry_no_jaccard,yes,yes
B-09,B1,MEASURED,The TID 1500 SR cell cannot test the direction of the fi ...,results/phase1_variants.csv,yes,,F1-05,yes,,,tests/test_variants.py::test_sr_baseline_is_degenerate_for_the_flip_test,yes,yes
B-10,B1,MEASURED,The writer-specific residue is the stable quantity in th ...,results/phase1_variants.csv,yes,results/figures/manifest.json;results/manuscript/figures.md;results/manuscript/methods.md;results/manuscript/results.md;results/manuscript/tables.md;results/submission/02_manuscript_full.md;results/submission/03_manuscript_blinded.md;results/submission/04_tables.md;results/submission/05_figure_legends.md,"B-02, B-03",yes,,,tests/test_variants.py::test_residue_is_stable_under_perturbation,yes,yes
B-11,B1,PENDING,The ladder inherits the two unsatisfied tool pins from P ...,results/phase1_variants.csv,yes,,F1-08,yes,,,,,no
C-CSR-01,C-CSR,VERIFIED,"Referenced Frame Number (0008,1160) present in an SR IMA ...",results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,yes,,,,,,,,yes
C-CSR-02,C-CSR,VERIFIED,dicom-validator does not independently confirm the Refer ...,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,yes,,,,,,,,yes
C-CSR-03,C-CSR,VERIFIED,Coding Scheme Designator SRT is a deprecation notice wit ...,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,yes,,,,,,,,yes
C-CSR-04,C-CSR,VERIFIED,Referenced SOP Instances that appear in the SR Content T ...,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,yes,,,,,,,,yes
C-CSR-05,C-CSR,MEASURED,"dciodvfy error triple for Comprehensive SR Storage, afte ...",results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,yes,,"C-CSR-01,C-CSR-04",yes,,,,,yes
C-CSR-06,C-CSR,MEASURED,dicom-validator error triple for Comprehensive SR Storag ...,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,yes,,C-CSR-02,yes,,,,,yes
C-CSR-07,C-CSR,MEASURED,"dciodvfy warning triple for Comprehensive SR Storage, af ...",results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,yes,,C-CSR-03,yes,,,,,yes
C-CSR-08,C-CSR,MEASURED,Net rate across both validators for Comprehensive SR Sto ...,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,yes,,"C-CSR-05,C-CSR-06",yes,,,,,yes
C-CSR-09,C-CSR,MEASURED,"Collection-level net rates for Comprehensive SR Storage, ...",results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,yes,,C-CSR-08,yes,,,,,yes
C-CSR-10,C-CSR,MEASURED,Three NET rules in this class cite PS3.5 or PS3.6 rather ...,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,yes,,"C-CSR-05,C-CSR-06,C-CSR-08",yes,,,,,yes
C-CSR-11,C-CSR,DERIVED,PRE-01 is not recorded as a wrong prediction on the evid ...,results/phase2/adjudication_comprehensive_sr.csv and results/phase2/net_rates_comprehensive_sr.md,yes,,"C-CSR-08,C-CSR-09,PRE-05",yes,,,,,yes
C-GSPS-01,P2A,MEASURED,"Adjudicated against the DICOM standard, every Error-seve ...",results/phase2/net_rates_gsps.md,yes,,P2C-02,yes,,,,,yes
C-GSPS-02,P2A,MEASURED,Every Warning-severity finding dciodvfy raises on the co ...,results/phase2/net_rates_gsps.md,yes,,P2C-02,yes,,,,,yes
C-GSPS-03,P2A,MEASURED,dicom-validator raised no finding of any severity on any ...,results/phase2/net_rates_gsps.md,yes,,P2C-02,yes,,,,,yes
C-GSPS-04,P2A,VERIFIED,"dciodvfy's Error on a missing Laterality (0020,0060) in ...",results/phase2/adjudication_gsps.csv,yes,,F1-01,yes,,,,,yes
C-GSPS-05,P2A,VERIFIED,"dciodvfy's ""Missing attribute or value that would be nee ...",results/phase2/adjudication_gsps.csv,yes,,,,,,,,yes
C-GSPS-06,P2A,VERIFIED,"dciodvfy's ""Value dubious for this VR, Retired Person Na ...",results/phase2/adjudication_gsps.csv,yes,,,,,,,,yes
C-GSPS-07,P2A,VERIFIED,dciodvfy's DisplayedAreaSelectionSequence ordering check ...,results/phase2/net_rates_gsps.md,yes,,,,,,,,yes
C-GSPS-08,P2A,MEASURED,Collection-level net Error rates for the Grayscale Softc ...,results/phase2/net_rates_gsps.md,yes,,P0-05,yes,,,,,yes
C-GSPS-09,P2A,DERIVED,"Evaluated against PRE-05, the Grayscale Softcopy Present ...",results/phase2/net_rates_gsps.md,yes,,"PRE-05, C-GSPS-01, C-GSPS-08",yes,,,,,yes
C-GSPS-10,P2A,DERIVED,The dcmpschk column is excluded from the Grayscale Softc ...,results/phase2/net_rates_gsps.md,yes,,P2C-04,yes,,,,,yes
C-GSPS-11,P2A,VERIFIED,Two pin records in this project disagree about which edi ...,results/phase2/adjudication_gsps.csv,yes,,,,,,,,yes
C-PM-01,P2C-C,MEASURED,Every distinct validator message class recorded against ...,results/phase2/adjudication_parametric_map.csv; results/phase2/net_rates_parametric_map.md,no,,,,,,,,yes
C-PM-02,P2C-C,VERIFIED,"For the Parametric Map IOD, Values 3 and 4 of Image Type ...",results/phase2/adjudication_parametric_map.csv; results/phase2/net_rates_parametric_map.md,no,,,,,,,,no
C-PM-03,P2C-C,VERIFIED,The five Shared Functional Groups sequences dicom-valida ...,results/phase2/adjudication_parametric_map.csv; results/phase2/net_rates_parametric_map.md,no,,,,,,,,no
C-PM-04,P2C-C,VERIFIED,"Rows (0028,0010) and Columns (0028,0011) are required in ...",results/phase2/adjudication_parametric_map.csv; results/phase2/net_rates_parametric_map.md,no,,,,,,,,no
C-PM-05,P2C-C,MEASURED,"After adjudication, the entire Parametric Map Storage fa ...",results/phase2/adjudication_parametric_map.csv; results/phase2/net_rates_parametric_map.md,no,,"C-PM-01,C-PM-02,C-PM-03,C-PM-04",yes,,,,,yes
C-PM-06,P2C-C,MEASURED,No message class recorded against Parametric Map Storage ...,results/phase2/adjudication_parametric_map.csv; results/phase2/net_rates_parametric_map.md,no,,C-PM-01,yes,,,,,yes
C-PM-07,P2C-C,MEASURED,"The dciodvfy Laterality Type 2C error, which appears on ...",results/phase2/adjudication_parametric_map.csv; results/phase2/net_rates_parametric_map.md,no,,,,,,,,yes
C-PM-08,P2C-C,MEASURED,The Phase 1 floor set and the archive message classes ov ...,results/phase2/adjudication_parametric_map.csv; results/phase2/net_rates_parametric_map.md,no,,"C-PM-03,C-PM-04",yes,,,,,yes
C-PM-09,P2C-C,DERIVED,"Evaluated against PRE-05, Parametric Map Storage falls i ...",results/phase2/adjudication_parametric_map.csv; results/phase2/net_rates_parametric_map.md,no,results/phase2/net_rates_parametric_map.md,"C-PM-05,PRE-05",yes,,,,,yes
C-RWV-01,P2C,MEASURED,Real World Value Mapping Storage has no net error class. ...,results/phase2/net_rates_rwv_kos.md,yes,,P2C-02,yes,,,tests/test_adjudicate_rwv_kos.py::test_the_triples_are_pinned,yes,yes
C-RWV-02,P2C,MEASURED,Real World Value Mapping Storage has no net warning clas ...,results/phase2/net_rates_rwv_kos.md,yes,,P2C-02,yes,,,tests/test_adjudicate_rwv_kos.py::test_the_triples_are_pinned,yes,yes
C-RWV-03,P2C,MEASURED,dicom-validator emitted no finding of any severity on an ...,results/phase2/net_rates_rwv_kos.md,yes,,P2C-02,yes,,,tests/test_adjudicate_rwv_kos.py::test_the_triples_are_pinned,yes,yes
C-RWV-04,P2C,VERIFIED,The dciodvfy error class on every Real World Value Mappi ...,results/phase2/adjudication_rwv_kos.csv,yes,,,,,,tests/test_adjudicate_rwv_kos.py::test_every_message_class_is_adjudicated,yes,yes
