id,section,section_title,claim,status,status_note,value,sop_class,n,denominator,floor,dropped,validator,validator_version,command,source_file,derived_from,external_source,pinned_by_test,supersedes,superseded_by,retired_reason,idc_index_version,date,verified_on,hardware,notes
P0-10,P0,"Phase 0 census, IDC index metadata","Two denominators are carried throughout: derived objects, and the subset IDC ingested as analysis results. Neither is the AI-derived population on its own.",MEASURED,"analysis_result_id is an upper bound on AI-derived, not a measurement of it: the attributed set includes objects contoured by people through a viewer and objects whose Manufacturer reads 'Expert annotation from TCIA'.","derived 481,750 series; analysis-result attributed 463,543, 96.22 percent; unattributed remainder includes 3,115 RT Structure Set series from planning systems","derived, nine classes","463,543","481,750","not applicable, no validator involved","nothing, complete index read","none, index metadata only",idc-index-data v24,python -m colophon.index,results/phase0/census_by_analysis_result.csv,,,tests/test_phase0.py::test_two_denominators,,,,v24,2026-08-02T08:20:43Z,,,"Carried because a claim about AI results quoted against the derived denominator counts radiotherapy planning contours drawn by people, which a reviewer will notice."
P0-11,P0,"Phase 0 census, IDC index metadata","Per-series rather than per-instance validation would miss 22,977 derived instances, 4.55 percent. Segmentation Storage is the only derived class with any multi-instance series.",MEASURED,"Quoted at this precision deliberately. The coverage gap is small and overstating it would cost more credibility than the point is worth. The gap that carries the paper is the publication gap, which is total.","1.0477 instances per series; 22,977 of 504,727 instances missed, 4.55 percent; 6,170 of 190,146 Segmentation series are multi-instance, 3.24 percent","derived, nine classes","22,977","504,727","not applicable, no validator involved","nothing, complete index read","none, index metadata only",idc-index-data v24,python -m colophon.index,results/phase0/first_file_coverage.csv,PA-03,,tests/test_phase0.py::test_first_file_coverage,,,,v24,2026-08-02T08:20:43Z,,,
C3-01,C3,"Claim 3, producer identification","Manufacturer and ManufacturerModelName are populated on essentially every derived series in IDC v24, so the provenance question is not one of missing attributes.",MEASURED,,"Manufacturer populated on 481,331 of 481,750 series, ManufacturerModelName on 475,812 of 481,750","derived, nine classes","481,331","481,750","not applicable, no validator involved. This claim is scored against IHE AI Results section 6.5.3.1, not against a validator, so it has a normative yardstick rather than a floor.","nothing, all derived series classified","none, index metadata only",idc-index-data v24,python -m colophon.provenance,results/phase0/provenance_population_by_sop.csv,,,tests/test_phase0.py::test_provenance_population,,,,v24,2026-08-02T04:22:47Z,,,Nulls and empty strings counted separately. No derived series carries a zero length value in either attribute.
C3-02,C3,"Claim 3, producer identification","Declared equipment identity across the derived population partitions exhaustively into four buckets: encoding library only, producing entity and converter both named, other, and absent.",MEASURED,"Exhaustive by construction. An encoder share reported against a named-model share leaves a residual, and the residual holds the counter-example in C3-03.","encoding library only 416,427 (86.44 percent); producing entity and converter both named 21,721 (4.51 percent); other: named model, scanner, planning system or viewer 37,454 (7.77 percent); absent or NA 6,148 (1.28 percent)","derived, nine classes","481,750","481,750","not applicable, no validator involved. This claim is scored against IHE AI Results section 6.5.3.1, not against a validator, so it has a normative yardstick rather than a floor.","nothing, all derived series classified","none, index metadata only",idc-index-data v24,python -m colophon.provenance,results/phase0/provenance_buckets.csv,,PS3.3 C.7.5.1 General Equipment Module,tests/test_phase0.py::test_buckets_are_exhaustive,,,,v24,2026-08-02T04:22:47Z,,,"PS3.3 C.7.5.1 permits identifying converting equipment, so this is a measurement of what is declared, not a defect finding. One boundary case is recorded in colophon.provenance.BOUNDARY_CASES: Plastimatch on one series is counted as other rather than encoder, which changes no figure to its stated precision."
C3-03,C3,"Claim 3, producer identification","IDC already applies a convention that names the producing lab, the producing model and the converter together, to part of its own holdings. The finding is therefore a conflict of conventions, not an absence of producer information.",MEASURED,Positive control. It is what makes the claim falsifiable and fair: the archive demonstrates the capability it is being measured against.,"21,721 of 481,750 series, 4.51 percent, name producer and converter both: tcga_sbu_til_maps 21,030 and tcga_gbm360 691","derived, nine classes","21,721","481,750","not applicable, no validator involved. This claim is scored against IHE AI Results section 6.5.3.1, not against a validator, so it has a normative yardstick rather than a floor.","nothing, all derived series classified","none, index metadata only",idc-index-data v24,python -m colophon.provenance,results/phase0/provenance_converter_pairs.csv,C3-02,,tests/test_phase0.py::test_positive_control,,,,v24,2026-08-02T04:22:47Z,,,The convention is not applied consistently even within this bucket: one analysis result writes 'Converted By' and the other writes 'converted by'.
C3-11,C3,"Claim 3, producer identification",The largest single analysis result in the archive declares an encoding library in both equipment attributes and names the algorithm that produced it nowhere in them.,MEASURED,"Reported as an aggregate by analysis_result_id, which is what the study reports by. This is not a quality judgement and not a leaderboard: the same convention covers most of the archive and the point is that conventions differ, not that one producer is worse.","totalsegmentator_ct_segmentations: 378,153 series, Manufacturer QIICR, ManufacturerModelName https://github.com/QIICR/dcmqi","derived, nine classes","378,153","481,750","not applicable, no validator involved. This claim is scored against IHE AI Results section 6.5.3.1, not against a validator, so it has a normative yardstick rather than a floor.","nothing, all derived series classified","none, index metadata only",idc-index-data v24,python -m colophon.provenance,results/phase0/provenance_name_agreement.csv,"C3-02,C3-05",,tests/test_phase0.py::test_largest_analysis_result,,,,v24,2026-08-02T04:22:47Z,,,
C3-10,C3,"Claim 3, producer identification",Several incompatible conventions for declaring equipment identity coexist in one archive curated by one team.,MEASURED,"The acquisition equipment convention is identified by the measured cross-reference in C3-07, not by a list of vendor names, so it cannot be biased by which vendors the author thought to include.","encoding library as manufacturer 417,623 (86.69 percent); producing lab plus model plus converter 21,721 (4.51 percent); viewer or workstation as manufacturer 19,153 (3.98 percent); acquisition equipment as manufacturer 8,687 (1.80 percent); institution as manufacturer, model named 6,171 (1.28 percent); manufacturer only, model absent 5,034 (1.04 percent)","derived, nine classes",9,"481,750","not applicable, no validator involved. This claim is scored against IHE AI Results section 6.5.3.1, not against a validator, so it has a normative yardstick rather than a floor.","nothing, all derived series classified","none, index metadata only",idc-index-data v24,python -m colophon.provenance,results/phase0/provenance_conventions.csv,"C3-02,C3-03,C3-07",,,,,,v24,2026-08-02T04:22:47Z,,,This is the claim that replaces 'the archive does not record producers'. It is harder to attack and it hands the reader a fix rather than a complaint.
C3-04,C3,"Claim 3, producer identification","A single encoding tool is declared under several distinct spellings, so grouping derived objects by declared model name overcounts distinct producers.",MEASURED,,"dcmqi appears under 6 distinct spellings across 411,865 series","derived, nine classes","411,865","481,750","not applicable, no validator involved. This claim is scored against IHE AI Results section 6.5.3.1, not against a validator, so it has a normative yardstick rather than a floor.","nothing, all derived series classified","none, index metadata only",idc-index-data v24,python -m colophon.provenance,results/phase0/provenance_spelling_variants.csv,,,tests/test_phase0.py::test_dcmqi_spellings,,,,v24,2026-08-02T04:22:47Z,,,
C3-05,C3,"Claim 3, producer identification",For most large analysis results the declared equipment strings share no distinctive token with the analysis that IDC attributes the series to.,MEASURED,"String overlap test, not a judgement. A miss means no shared distinctive token, not that the declaration is wrong.","434,341 series across 16 analysis results of at least 100 series have zero token overlap","derived, nine classes","434,341","481,750","not applicable, no validator involved. This claim is scored against IHE AI Results section 6.5.3.1, not against a validator, so it has a normative yardstick rather than a floor.","analysis results under 100 series, and the null analysis_result_id group, excluded from this tally and reported in the full table","none, index metadata only",idc-index-data v24,python -m colophon.provenance,results/phase0/provenance_name_agreement.csv,,,,,,,v24,2026-08-02T04:22:47Z,,,
C3-06,C3,"Claim 3, producer identification","ImplementationVersionName (0002,0013), ContributingEquipmentSequence (0018,A001), SegmentAlgorithmType (0062,0008), SegmentAlgorithmName (0062,0009), ContentCreatorName (0070,0084) and the Algorithm Identification Macro cannot be measured from the index.",PENDING,,7 of 9 provenance carriers unmeasured at Phase 0,"derived, nine classes",,"481,750","not applicable, no validator involved. This claim is scored against IHE AI Results section 6.5.3.1, not against a validator, so it has a normative yardstick rather than a floor.","nothing, all derived series classified","none, index metadata only",idc-index-data v24,python -m colophon.provenance,results/claim3_provenance.md and results/phase0/provenance_*.csv,,"PS3.3, Enhanced General Equipment Module and the Algorithm Identification Macro",,,,,v24,2026-08-02T04:22:47Z,,,"These are not index columns. They require reading fetched objects, which is Phase 2 for the small classes and Phase 3 for the sampled ones. Logged so the claim is not silently narrowed to the two carriers the index happens to expose. The carrier list is wider than the brief's five because the published IDC AI-annotation descriptors record producer information in the SEG algorithm attributes."
C3-07,C3,"Claim 3, producer identification","A measurable share of derived series declare an equipment identity that also appears on acquired image series in the same collection, meaning the identity describes the scanner rather than the producer.",MEASURED,"Measured against the archive itself by exact pair match, so it needs no vendor name list and cannot be biased by which vendors the author thought to include.","9,971 of 475,537 eligible series, 2.1 percent, inherited within collection. Widening the match to the whole archive gives 10,491, 2.2 percent. Against all 481,750 derived series the two figures are 2.1 and 2.2 percent.","derived, nine classes","9,971","481,750","not applicable, no validator involved. This claim is scored against IHE AI Results section 6.5.3.1, not against a validator, so it has a normative yardstick rather than a floor.","nothing, all derived series classified","none, index metadata only",idc-index-data v24,python -m colophon.provenance,results/phase0/provenance_acquisition_inheritance.csv,,,,,,,v24,2026-08-02T04:22:47Z,,,
C3-08,C3,"Claim 3, producer identification",Claim 3 at Phase 0 samples nothing.,MEASURED,,"481,750 of 481,750 derived series classified","derived, nine classes","481,750","481,750","not applicable, no validator involved. This claim is scored against IHE AI Results section 6.5.3.1, not against a validator, so it has a normative yardstick rather than a floor.","nothing, all derived series classified","none, index metadata only",idc-index-data v24,python -m colophon.provenance,results/claim3_provenance.md and results/phase0/provenance_*.csv,,,,,,,v24,2026-08-02T04:22:47Z,,,Values matching no rule are reported as unclassified rather than discarded.
C3-12,C3,"Claim 3, producer identification","Series in this archive are not independent observations. The effective sample size is on the order of the number of collections, not the number of series, so every rate is reported series-weighted, collection-level and leave-one-out.",MEASURED,"Stated before any rate is read, not in limitations. The collection-level distribution is bimodal rather than centred, which is itself the finding: a convention is adopted by a producer and applied to everything that producer emits, so the object is the wrong unit for asking how common a convention is.","481,750 series across 85 collections, 24 analysis results and 46,571 patients. Series-weighted encoder rate 86.4 percent; collection-level median 0.0 percent, IQR 0.0 to 100.0; 44 collections at 0 percent and 27 at 100 percent","derived, nine classes",85,"481,750","not applicable, no validator involved. This claim is scored against IHE AI Results section 6.5.3.1, not against a validator, so it has a normative yardstick rather than a floor.","nothing, all derived series classified","none, index metadata only",idc-index-data v24,python -m colophon.provenance,results/phase0/provenance_by_collection.csv,C3-02,,tests/test_phase0.py::test_clustering,,,,v24,2026-08-02T04:22:47Z,,,This is a census of one release of one archive. It licenses no inference beyond IDC v24 and no claim here is stated about DICOM practice in general.
C3-13,C3,"Claim 3, producer identification",The series-weighted encoder rate is substantially attributable to a single collection and a single analysis result.,MEASURED,"Reported alongside the series-weighted figure and never after it. The series-weighted figure still describes the archive a consumer actually downloads, which is why it is kept.",removing collection nlst takes the rate from 86.4 to 34.81 percent; removing analysis result totalsegmentator_ct_segmentations takes it to 36.95 percent,"derived, nine classes","386,226","481,750","not applicable, no validator involved. This claim is scored against IHE AI Results section 6.5.3.1, not against a validator, so it has a normative yardstick rather than a floor.","nothing, all derived series classified","none, index metadata only",idc-index-data v24,python -m colophon.provenance,results/phase0/provenance_leave_one_out.csv,C3-12,,tests/test_phase0.py::test_leave_one_out,,,,v24,2026-08-02T04:22:47Z,,,
C3-14,C3,"Claim 3, producer identification","The normative yardstick for claim 3 is PS3.3 Final Text, not the IHE AI Results profile.",PENDING,"Reversal. AIR is Trial Implementation, with no Connectathon test case and no Gazelle test plan, so it cannot carry a conformance claim. It is cited as evidence of intent and of a knowingly left gap, not as a requirement. Held PENDING until the module tables are read directly rather than taken from a secondary statement.","Enhanced General Equipment is Mandatory in the Segmentation and Parametric Map IODs, making Manufacturer (0008,0070), ManufacturerModelName (0008,1090), DeviceSerialNumber (0018,1000) and SoftwareVersions (0018,1020) all Type 1: four hard machine-checkable attributes","derived, nine classes",,"481,750","not applicable, no validator involved. This claim is scored against IHE AI Results section 6.5.3.1, not against a validator, so it has a normative yardstick rather than a floor.","nothing, all derived series classified","none, index metadata only",idc-index-data v24,python -m colophon.provenance,,,"PS3.3, Enhanced General Equipment Module, and the Segmentation and Parametric Map IOD module tables",,C3-06-air,,,v24,2026-08-02T04:22:47Z,,,"Consequence for reporting: results are given in three grades, never two. Non-conformant, conformant but uninformative, and informative. Scoped to Segmentation and Parametric Map, the two IODs where Enhanced General Equipment is Mandatory. Everything the standard leaves optional, ContributingEquipmentSequence being Type 3 and Comprehensive 3D SR carrying only General Equipment so that Manufacturer is Type 2 and model, serial and software are Type 3, is a gap in the standard rather than vendor non-conformance."
C3-06-air,C3,"Claim 3, producer identification",The IHE AI Results profile section 6.5.3.1 is the normative yardstick against which producer identification is scored.,RETIRED,,withdrawn before any object was scored against it,"derived, nine classes",,"481,750","not applicable, no validator involved. This claim is scored against IHE AI Results section 6.5.3.1, not against a validator, so it has a normative yardstick rather than a floor.","nothing, all derived series classified","none, index metadata only",idc-index-data v24,python -m colophon.provenance,,,,,,C3-14,"AIR is Trial Implementation and has been for years, with no Connectathon test case and no Gazelle test plan. A profile at that status cannot carry a conformance claim. Scoring against it would also have measured a gap the standard itself leaves open rather than a failure by any producer. Replaced by C3-14, which scores against PS3.3 Final Text Type 1 requirements.",v24,2026-08-02T04:22:47Z,,,"AIR is still cited, as evidence of intent and of a knowingly left gap. Its Closed Issue 26 rates ContributingEquipmentSequence as a good start, and Closed Issue 19 declines to encode approval status and defers to out-of-band mechanisms. Both quotes are pending retrieval of the PDF."
C3-15,C3,"Claim 3, producer identification","Scoring is semantic, not presence-based, and absent, empty and non-empty are three separate counts.",MEASURED,"Populated is defined as non-null and of length greater than zero after trimming. Manufacturer is Type 2 and may legally be zero length, and index representations collapse zero length to empty or null inconsistently, so the index null semantics are verified against opened objects in Phase 2.",a presence check over Type 1 attributes reports 100 percent and measures nothing; sentinel values are published in results/sentinels.json and excluded from every informativeness numerator,"derived, nine classes",,"481,750","not applicable, no validator involved. This claim is scored against IHE AI Results section 6.5.3.1, not against a validator, so it has a normative yardstick rather than a floor.","nothing, all derived series classified","none, index metadata only",idc-index-data v24,python -m colophon.provenance,results/sentinels.json,"W-04,C3-14",,tests/test_phase0.py::test_provenance_population,,,,v24,2026-08-02T04:22:47Z,,,"highdicom writes ContributingEquipmentSequence on every object it produces, so a presence check on that attribute over-reports for every highdicom object too."
C3-02-prev,C3,"Claim 3, producer identification","The majority of derived series declare a general purpose DICOM encoding library in ManufacturerModelName rather than the analysis that produced the result, 86.7 percent, and only 1.8 percent name a specific model, pipeline or study.",RETIRED,,86.7 percent encoder against 1.8 percent named analysis,"derived, nine classes",,"481,750","not applicable, no validator involved. This claim is scored against IHE AI Results section 6.5.3.1, not against a validator, so it has a normative yardstick rather than a floor.","nothing, all derived series classified","none, index metadata only",idc-index-data v24,python -m colophon.provenance,,,,,,C3-02,"Not false, but not exhaustive, and the omission changed the argument. Two non-complementary shares leave 11.5 percent of the population unreported, and that residual contains the 21,721 series that name producing entity, producing model and converter together. Reported this way the finding reads as 'the archive does not record producers', which the residual falsifies. Replaced by an exhaustive four-bucket partition, C3-02, and the positive control, C3-03.",v24,2026-08-02T04:22:47Z,,,"Never entered a manuscript. Kept because the 86.7 and 1.8 figures were written into the README before the residual was examined, and a number that reached prose once can reach it again."
C3-09,C3,"Claim 3, producer identification",De-identification is a confounder on any absence-based provenance rate and cannot be resolved from the index.,PENDING,,"DeidentificationMethod (0012,0063) and DeidentificationMethodCodeSequence (0012,0064) not in index","derived, nine classes",,"481,750","not applicable, no validator involved. This claim is scored against IHE AI Results section 6.5.3.1, not against a validator, so it has a normative yardstick rather than a floor.","nothing, all derived series classified","none, index metadata only",idc-index-data v24,python -m colophon.provenance,results/claim3_provenance.md and results/phase0/provenance_*.csv,,PS3.15 Annex E,,,,,v24,2026-08-02T04:22:47Z,,,TCIA and IDC apply PS3.15 Annex E profiles on ingest and retention varies by profile and submitter. An absent Manufacturer may mean the producer never wrote one or that curation removed it. Phase 2 and 3 record both attributes per object and stratify every attribution rate by whether a retention profile was declared.
PA-01,PA,Prior art,"No publication measures conformance or provenance of AI-derived DICOM objects across a population of producers in a public archive, quantifies inter-validator disagreement on a shared corpus, or measures producer attribution at population scale.",LITERATURE,"This is a claim about our search, not about the literature. The queries are recorded verbatim in colophon/prior_art.py so a reviewer can re-run them. Searched with LLM assistance, declared in results/ai_use.md.","132 queries across five angles, 14 records retrieved directly, 0 works occupying the ground",all,0,132,"not applicable, no validator involved","All sweeps were English-language general web search plus targeted retrieval. Semantic Scholar returned HTTP 429 on every attempt. No systematic query was run against Google Scholar, Scopus, Web of Science, Embase or IEEE Xplore, and no search was made of the SPIE Medical Imaging, SIIM, EuroPACS, CARS or RSNA abstract archives. Those are the likeliest venues for an unindexed partial conformance sweep. One manual pass over them is scheduled before submission and will be logged here.","none, literature search",,python -m colophon.prior_art,results/prior_art.md,,,,,,,v24,2026-08-02T04:18:18Z,2026-08-01,,
PA-02,PA,Prior art,Three works partially occupy adjacent ground and must be cited and distinguished rather than omitted.,LITERATURE,,"Reengineering Workflow for Curation of DICOM Datasets (Posda, TCIA); VIDS: A Verified Imaging Dataset Standard for Medical AI (Muthu, Shalen); DICOM4QI demonstration and connectathon",all,3,,"not applicable, no validator involved",,"none, literature search",,python -m colophon.prior_art,results/prior_art.md,PA-01,,,,,,v24,2026-08-02T04:18:18Z,2026-08-01,,
PA-03,PA,Prior art,"Validation of public DICOM archives is a documented, routine curation step. In every case the published record reports that validation was performed, not what it found.",LITERATURE,"Contribution is scoped to published measurement: rates, denominators, per-error-class breakdown, warning classes and cross-validator disagreement. The word first is always qualified with that scope.","Posda operates a named workflow step, Verify DICOM IOD (Dciodvfy); IDC declares use of dciodvfy and PixelMed DICOMSRValidator; Krishnaswamy 2024 names both tools and reports no numbers",all,,,"not applicable, no validator involved",,"none, literature search",,python -m colophon.prior_art,results/prior_art.md,PA-01,https://pmc.ncbi.nlm.nih.gov/articles/PMC6261183/ and https://www.nature.com/articles/s41597-023-02864-y,,,,,v24,2026-08-02T04:18:18Z,2026-08-01,,
PA-03-prev,PA,Prior art,The published state of the art in validating a public DICOM archive runs dciodvfy on the first file of every series.,RETIRED,,withdrawn before submission,all,,,"not applicable, no validator involved",,"none, literature search",,python -m colophon.prior_art,results/prior_art.md,,,,,PA-03,"An overstatement that a reviewer catches by opening one file. It is true of RunDciodvfyByCollection.pl and of the 2018 paper, but Posda has a named workflow step supporting one_per_series, all_per_series and per_sop granularity. Replaced by PA-03, which claims only that the published record reports that validation happened rather than what it found.",v24,2026-08-02T04:18:18Z,2026-08-01,,
PA-08,PA,Prior art,The genuinely uncovered ground is warnings. Existing collection-level tooling discards them by construction.,PENDING,"Held PENDING until the source line is read directly. If confirmed, a warning-class breakdown is something no existing collection-level tooling can produce.","RunDciodvfyByCollection.pl pipes dciodvfy output through grep Error, discarding every warning, and additionally suppresses (0018,9445)",all,,,"not applicable, no validator involved",,"none, literature search",,python -m colophon.prior_art,results/prior_art.md,PA-03,,,,,,v24,2026-08-02T04:18:18Z,2026-08-01,,"Operational consequence, applied immediately: every dciodvfy invocation in this project captures warnings as well as errors. A harness that greps for Error inherits the blind spot it exists to expose."
PA-09,PA,Prior art,The denominators this study reports already exist inside every Posda instance and are never published.,PENDING,"Held PENDING until the schema is read directly. This is the sharper and fairer version of the contribution claim: the measurement is not impossible or unattempted, it is unpublished.","Posda parses dciodvfy output into structured error and warning categories and stores num_file_in_unit, num_errors_in_unit and num_warnings_in_unit in dciodvfy_unit_scan",all,,,"not applicable, no validator involved",,"none, literature search",,python -m colophon.prior_art,results/prior_art.md,PA-03,,,,,,v24,2026-08-02T04:18:18Z,2026-08-01,,
PA-04,PA,Prior art,No public corpus of clinical or archive-derived GSPS objects was located. The only public GSPS data found is a synthetic conformance test suite.,LITERATURE,"Replaces the brief's stronger claim that the IDC GSPS holdings are the only public GSPS corpus in existence, which the MESA CPI suite falsifies. See PA-C2.",DCMTK / MESA CPI presentation state test suite,all,,,"not applicable, no validator involved",,"none, literature search",,python -m colophon.prior_art,results/prior_art.md,"PA-01,P0-05",,,,,,v24,2026-08-02T04:18:18Z,2026-08-01,,
PA-05,PA,Prior art,The brief's characterisation of the peer-reviewed GSPS literature as essentially three papers does not survive and is withdrawn.,RETIRED,,withdrawn before use,all,,,"not applicable, no validator involved",,"none, literature search",,python -m colophon.prior_art,results/prior_art.md,,,,,,"Wrong in both directions. It omits at least Church et al. 2026, Swinburne et al. 2025, Fischer et al. 2015 and two Eichelberg-group SPIE papers, and Harvey and Corrie 2005 is a NEMA conference paper, so it cannot sit inside a claim about peer-reviewed literature. Any sparsity claim must quote database counts with query strings and the date they were run.",v24,2026-08-02T04:18:18Z,2026-08-01,,Never entered a manuscript. Recorded so it cannot be reintroduced from the brief.
PA-06,PA,Prior art,"Claim 2 is a measurement of an acknowledged phenomenon, not a discovery. Validator authors concede disagreement in their own documentation.",LITERATURE,"Framing consequence: pitch claim 2 as supplying the rate, the direction and the per-attribute breakdown for something conceded qualitatively and never measured.",dciodvfy documentation concedes spurious diagnostics where the standard is vague; the pydicom dicom-validator README disclaims correctness and describes itself as beta-stage; DICOM4QI instructs participants to explain discrepancies,all,,,"not applicable, no validator involved",,"none, literature search",,python -m colophon.prior_art,results/prior_art.md,PA-01,,,,,,v24,2026-08-02T04:18:18Z,2026-08-01,,
PA-07,PA,Prior art,"A manual pass over Google Scholar, Scopus, Web of Science, Embase, IEEE Xplore and the SPIE, SIIM, EuroPACS, CARS and RSNA abstract archives has not been run.",PENDING,"The venues are now carried as machine-readable source_not_searched rows in results/prisma_s_rows.csv and listed in appendix section S.12, so the unsearched set is enumerable rather than described in prose. The pass itself is still unrun, so the status and the value are unchanged.",0 of 10 additional venues searched,all,,,"not applicable, no validator involved",see coverage limits in results/prior_art.md,"none, literature search",,python -m colophon.prior_art,results/prior_art.md,,,,,,,v24,2026-08-02T07:34:37Z,2026-08-01,,Scheduled before submission. Logged now so the negative result is not read as exhaustive.
